benchmark,cluster,ddrfreq,cpufreq,cpu_cycles,inst_retired,l1i_cache_refill,l1d_cache_refill,l2d_cache_refill,l3d_cache_refill,ll_cache_miss_rd,time_run,time_enabled
random_copy_23_5,0,534000000,1608000,7961790000.0,1257570000.0,569,38504300.0,58944300.0,56066000.0,56066000.0,4984760000.0,4984760000.0
random_copy_23_5,0,534000000,1800000,8925970000.0,1280770000.0,603,39381800.0,59871400.0,56937700.0,56937700.0,4983910000.0,4983910000.0
random_copy_23_5,0,1320000000,408000,1946060000.0,1029640000.0,586,29877400.0,49911200.0,46731400.0,46731400.0,4978570000.0,4978570000.0
random_copy_23_5,0,1320000000,600000,2928470000.0,1332680000.0,568,38995000.0,64325600.0,61194500.0,61194500.0,4983920000.0,4983920000.0
random_copy_23_5,0,1320000000,816000,3916120000.0,1636810000.0,679,46299300.0,81124200.0,77157700.0,77157700.0,4977590000.0,4977590000.0
random_copy_23_5,0,1320000000,1008000,4875080000.0,1738550000.0,672,51805800.0,82755900.0,78706200.0,78706200.0,4974910000.0,4974910000.0
random_copy_23_5,0,1320000000,1200000,6003930000.0,1864510000.0,659,57276900.0,87275200.0,82997800.0,82997700.0,4985090000.0,4985090000.0
random_copy_23_5,0,1320000000,1416000,6917480000.0,1976170000.0,665,60813500.0,92560000.0,88001900.0,88001900.0,4982370000.0,4982370000.0
random_copy_23_5,0,1320000000,1608000,7952600000.0,2076440000.0,630,64374200.0,96882100.0,92122600.0,92122600.0,4984930000.0,4984930000.0
random_copy_23_5,0,1320000000,1800000,8915820000.0,2162330000.0,704,66955600.0,101442000.0,96431900.0,96431900.0,4985090000.0,4985090000.0
random_copy_23_5,0,1968000000,408000,1945900000.0,997705000.0,535,28470900.0,48772200.0,45719300.0,45719300.0,4976790000.0,4976790000.0
random_copy_23_5,0,1968000000,600000,2929370000.0,1325290000.0,618,37427600.0,65530200.0,61294700.0,61294700.0,4977820000.0,4977820000.0
random_copy_23_5,0,1968000000,816000,3917500000.0,1520900000.0,676,43651600.0,74246300.0,70644800.0,70644800.0,4977000000.0,4977000000.0
random_copy_23_5,0,1968000000,1008000,4876610000.0,1617660000.0,587,48953700.0,76383700.0,72635900.0,72635900.0,4975120000.0,4975120000.0
random_copy_23_5,0,1968000000,1200000,6002140000.0,1745170000.0,657,53440300.0,81686400.0,77699100.0,77699100.0,4982860000.0,4982860000.0
random_copy_23_5,0,1968000000,1416000,6920120000.0,1841820000.0,686,56900100.0,86136600.0,81902700.0,81902700.0,4984300000.0,4984300000.0
