benchmark,cluster,ddrfreq,cpufreq,inst_retired,cpu_cycles,l1d_cache_refill,l2d_cache_rd,l2d_cache_refill,l3d_cache_rd,l3d_cache_refill,time_run,time_enabled
random_copy_24_11,1,1968000000,600000,3739360000.0,2949600000.0,140469000.0,276245000.0,108122000.0,108125000.0,1617.0,4986800000.0,4986800000.0
random_copy_24_11,1,1968000000,816000,4571330000.0,3845310000.0,171763000.0,337704000.0,132079000.0,132081000.0,1354.0,4977820000.0,4977820000.0
random_copy_24_11,1,1968000000,1008000,6825060000.0,4788420000.0,256381000.0,504216000.0,198160000.0,198165000.0,1779.0,4978560000.0,4978560000.0
random_copy_24_11,1,1968000000,1200000,7099850000.0,5723010000.0,266711000.0,524464000.0,204440000.0,204448000.0,2447.0,4985850000.0,4985850000.0
random_copy_24_11,1,1968000000,1416000,8450950000.0,6940340000.0,317571000.0,624323000.0,243016000.0,243019000.0,2059.0,4991290000.0,4991290000.0
random_copy_24_11,1,1968000000,1608000,10860600000.0,8024080000.0,407964000.0,802283000.0,311485000.0,311490000.0,2198.0,4986650000.0,4986650000.0
random_copy_24_11,1,1968000000,1800000,11451700000.0,9078020000.0,430148000.0,846009000.0,329976000.0,329981000.0,2436.0,4986570000.0,4986570000.0
random_copy_24_11,1,1968000000,2016000,12682100000.0,9965480000.0,476418000.0,936944000.0,370222000.0,370230000.0,2804.0,4980950000.0,4980950000.0
random_copy_24_11,1,1968000000,2208000,11875600000.0,11084200000.0,446241000.0,877300000.0,343936000.0,343940000.0,2072.0,4988010000.0,4988010000.0
random_copy_24_11,1,1968000000,2352000,11517100000.0,11535800000.0,432635000.0,850658000.0,330973000.0,330977000.0,1860.0,4979090000.0,4979090000.0
random_copy_24_11,1,2400000000,408000,2755500000.0,1960590000.0,103515000.0,203580000.0,80210100.0,80212600.0,1071.0,4978800000.0,4978800000.0
random_copy_24_11,1,2400000000,600000,3480870000.0,2947260000.0,130765000.0,257146000.0,101503000.0,101520000.0,1011.0,4982770000.0,4982770000.0
random_copy_24_11,1,2400000000,816000,4061700000.0,3846990000.0,152589000.0,300016000.0,117789000.0,117790000.0,1006.0,4979450000.0,4979450000.0
random_copy_24_11,1,2400000000,1008000,4789210000.0,4792180000.0,179920000.0,353762000.0,138961000.0,138962000.0,847.0,4981510000.0,4981510000.0
random_copy_24_11,1,2400000000,1200000,7371710000.0,5724530000.0,276985000.0,544614000.0,214059000.0,214063000.0,19531.0,4987940000.0,4987940000.0
random_copy_24_11,1,2400000000,1416000,9089840000.0,6922840000.0,341646000.0,671672000.0,261388000.0,261430000.0,5576.0,4979620000.0,4979620000.0
random_copy_24_11,1,2400000000,1608000,9507820000.0,8030700000.0,357133000.0,702240000.0,275696000.0,275699000.0,997.0,4990790000.0,4990790000.0
random_copy_24_11,1,2400000000,1800000,10425500000.0,9087670000.0,391664000.0,770111000.0,300034000.0,300036000.0,1485.0,4991840000.0,4991840000.0
random_copy_24_11,1,2400000000,2016000,10894500000.0,9958650000.0,409210000.0,804616000.0,315417000.0,315419000.0,1259.0,4977020000.0,4977020000.0
random_copy_24_11,1,2400000000,2208000,11733300000.0,11082400000.0,440794000.0,866680000.0,340193000.0,340197000.0,1205.0,4987470000.0,4987470000.0
random_copy_24_11,1,2400000000,2352000,13552800000.0,11549800000.0,509062000.0,1000990000.0,389962000.0,389965000.0,713.0,4986570000.0,4986570000.0
random_copy_24_6,0,534000000,408000,617057000.0,1945760000.0,23825400.0,28122200.0,27849300.0,27849300.0,27222900.0,4977750000.0,4977750000.0
random_copy_24_6,0,534000000,600000,748137000.0,2929300000.0,28831100.0,34644800.0,34244200.0,34244200.0,33441700.0,4978710000.0,4978710000.0
random_copy_24_6,0,534000000,816000,821274000.0,3934700000.0,31713700.0,37298100.0,36941200.0,36941200.0,36071600.0,4984660000.0,4984660000.0
random_copy_24_6,0,534000000,1008000,864899000.0,4892580000.0,33484000.0,38661500.0,38342200.0,38342200.0,37411200.0,4977330000.0,4977330000.0
random_copy_24_6,0,534000000,1200000,914722000.0,6020320000.0,35466100.0,40892600.0,40546700.0,40546700.0,39570500.0,4983860000.0,4983860000.0
random_copy_24_6,0,534000000,1416000,935080000.0,6940350000.0,36420600.0,41230200.0,40898200.0,40898200.0,39896100.0,4982510000.0,4982510000.0
random_copy_24_6,0,534000000,1608000,954504000.0,7965900000.0,37419500.0,41718500.0,41273800.0,41273800.0,40285800.0,4975570000.0,4975570000.0
random_copy_24_6,0,534000000,1800000,979656000.0,8937450000.0,38416900.0,43421600.0,42953500.0,42953500.0,41907400.0,4981480000.0,4981480000.0
random_copy_24_6,0,1320000000,408000,813112000.0,1942650000.0,31031300.0,38244600.0,37829100.0,37829100.0,36959200.0,4972790000.0,4972790000.0
random_copy_24_6,0,1320000000,600000,1042880000.0,2927330000.0,40283600.0,47289600.0,46819000.0,46818900.0,45687800.0,4974610000.0,4974610000.0
random_copy_24_6,0,1320000000,816000,1220520000.0,3926960000.0,47407200.0,54275700.0,53729700.0,53729700.0,52373700.0,4974990000.0,4974990000.0
random_copy_24_6,0,1320000000,1008000,1377060000.0,4900710000.0,53441900.0,61703100.0,61081100.0,61081100.0,59540500.0,4985600000.0,4985600000.0
random_copy_24_6,0,1320000000,1200000,1523810000.0,6021990000.0,58754000.0,70085400.0,69406000.0,69406000.0,67648800.0,4986580000.0,4986580000.0
random_copy_24_6,0,1320000000,1416000,1604660000.0,6928160000.0,61804900.0,74052000.0,73329700.0,73329700.0,71492800.0,4973180000.0,4973180000.0
random_copy_24_6,0,1320000000,1608000,1679730000.0,7955470000.0,64856700.0,77532400.0,76678100.0,76678100.0,74768000.0,4971980000.0,4971980000.0
random_copy_24_6,0,1320000000,1800000,1726190000.0,8942460000.0,66859700.0,78246000.0,77461800.0,77461800.0,75497800.0,4986430000.0,4986430000.0
random_copy_24_6,0,1968000000,408000,785770000.0,1947070000.0,29871900.0,36648200.0,36361100.0,36361100.0,35508500.0,4982930000.0,4982930000.0
random_copy_24_6,0,1968000000,600000,996139000.0,2929910000.0,38505800.0,44670500.0,44301700.0,44301700.0,43189400.0,4979600000.0,4979600000.0
random_copy_24_6,0,1968000000,816000,1179010000.0,3929260000.0,45397300.0,53839700.0,53360900.0,53360900.0,52045800.0,4979490000.0,4979490000.0
random_copy_24_6,0,1968000000,1008000,1311690000.0,4895510000.0,50352300.0,60433900.0,59889900.0,59889900.0,58409300.0,4979060000.0,4979060000.0
random_copy_24_6,0,1968000000,1200000,1419270000.0,6019330000.0,54671000.0,65273800.0,64636000.0,64636000.0,63027000.0,4981360000.0,4981360000.0
random_copy_24_6,0,1968000000,1416000,1485000000.0,6938190000.0,57600900.0,68102000.0,67165300.0,67165300.0,65504200.0,4979630000.0,4979630000.0
